customer_id,customer_name,transaction_date,amount
efc23b60-4a44-4922-9547-061c228bae71,Ronald Calhoun,2024-07-21,90365
5cf588ed-5637-40d9-a19f-558f5351b9aa,Mr. Philip Arias,2024-08-31,58374
b00b3b90-7204-4865-8b7c-6a139a251aca,Gregory Carpenter,2024-01-03,50094
05d5ce26-b2d5-40f8-a482-5aba206863f7,Tina Briggs,2024-02-08,6559
97e5249c-df3f-45ea-a801-9900d8a87e83,John Lin,2024-04-11,59822
626a5dfc-8391-4436-b9da-a85aad41910e,Susan Townsend,2024-03-23,69099
d8e3fae8-8bfe-4b4c-932e-31cd8eb17a03,Carrie Martin,2024-08-27,30145
dc69172e-b1ea-4218-8ea8-4bbc8095e6dc,Melissa Alexander,2024-03-20,59698
68aebf0e-0d4b-43eb-8515-74320a6473ef,Adrian Hawkins,2024-05-31,39901
4845d19c-197e-472d-9038-5f2508f9df68,Kyle Palmer,2024-04-07,76864
8c6bff28-315a-4126-bf23-ba059421a662,Tracy Jones,2024-09-13,86505
7ebc5b68-6f57-42d5-b589-9d6f7fc8f6d9,Lisa Blair,2024-02-17,6275
f6d6ffe4-a079-488d-a11f-6df33020d40d,Jodi Sherman,2024-05-22,67068
eb8aeece-e98d-4329-9e87-0c3c16677afe,Jeffrey White,2024-05-28,26706
494ff50f-fe52-4ebc-a338-70f6127ca775,Olivia Salinas,2024-04-21,99208
5f6e7701-e14a-4ba4-a800-6d16581a2e27,Diana Myers,2024-05-11,24938
cc5da75f-c45d-42e5-a428-78d847ce3f2c,Samantha Kelly,2024-03-05,92575
9914fd19-0e74-4db6-a744-f794d1f97670,Brian Bowman,2024-02-28,89723
4503e198-d1d2-4276-a0ec-24d766c267dc,Hannah Williams,2024-07-29,38092
e1558057-4387-46be-b786-e9b993eb7b94,Shane Norris,2024-07-04,50309
24b7e873-d8c9-4506-849f-51cdce655c7c,Andre Smith,2024-02-28,36502
92c1343d-3e2d-4d85-ab2c-40b7af6e5054,Angela Cross,2024-04-30,62231
b7616390-ca67-408c-860a-b81e12873d25,Paul Johnson,2024-09-20,42169
1a5cc43d-d108-4ae0-8439-3241ec0faf1c,Frank Hughes,2024-03-27,31358
08812187-9dd2-493a-9633-b015f11d7463,Kenneth Ball,2024-07-19,85846
b17e676b-1235-422f-992f-5b1eaa892074,Lindsay Hall,2024-02-18,75206
f15c1267-2b3b-4c46-a786-8e8b15c4d5bc,Dillon Jenkins,2024-01-28,62146
3e36b09a-5be2-4fd0-ad4d-b4bbcdf4ccce,Rachel Gillespie,2024-08-05,90592
c18daf0d-83af-4f03-9671-6f654194d44a,Tina Terrell,2024-06-16,42306
bdc5c59e-ae3f-4663-bbc9-e5d1e68973ed,William Hampton,2024-07-20,49005
b1451fac-f83e-44d2-a61d-5662662c2769,Lauren Anderson,2024-01-26,64006
db2d9745-1c06-4b0d-abe1-7f8714689719,Ronald Waller,2024-08-22,34876
d61b3383-0278-4f2f-83e9-0fe55fde27ce,Alexis Horton,2024-04-22,43114
6274f18a-e678-4988-b67f-89ce341d79a7,Julia Faulkner,2024-01-15,68315
c8d7e8d2-13c4-4d80-b44c-5a352dbcd294,Martin Perry MD,2024-04-16,81847
08683e15-23f4-467f-bdeb-173e9112f5c6,Jamie Hawkins,2024-07-04,41058
c3c6da2b-6f41-470f-8d41-d5455e753ef4,Andre Hall,2024-03-05,53096
7f1d383a-7b20-42ba-a0d0-e6d09cb84d96,Troy Thomas,2024-06-22,61111
845c6d04-140c-472c-bef5-6fa7736a2b38,Dylan Watkins,2024-08-03,24411
420a5fa5-98da-46da-ab83-dae06af26a3d,Jose Bennett,2024-03-07,85554
c2da2f80-c60d-46a5-b3da-1c6f6fa58b17,John Cisneros Jr.,2024-01-20,80886
281c114a-8c57-495f-8c39-18a4c50fb532,Paul Maynard,2024-08-28,6601
8554ec45-8107-46f6-8c05-a1558e52de69,Amber Burns,2024-01-03,38835
4e7ce033-7032-46fd-9851-184254aba9c3,Karen Moore,2024-05-03,41838
efc49617-95cb-4fe5-81ef-8a3ed5af9753,Stephanie Davis,2024-09-14,55313
49a3b73e-095d-44da-acb7-1df14ce4bf33,James Howard,2024-04-24,87234
10d5e1c7-a663-4ed4-a0fa-5d0b59b5716c,Teresa Stewart,2024-04-01,80773
5f166cf5-7b1d-4670-955b-517127c67956,Paul Curry,2024-04-27,45097
65de96af-b3c6-4de4-8f8b-f20f673b232e,Rickey Griffin,2024-08-04,71902
b2b0ae19-33eb-40a3-9f0b-ad7b965ad2b8,John Evans,2024-05-11,73527
ed1f4f85-87f1-465f-92b1-a9f49a2a9f56,Bonnie Hurley,2024-07-09,27367
624fbab2-2574-4f30-af19-3130b8dfc27e,Taylor Garcia,2024-01-30,2871
1c1f2062-c07a-4ffd-9111-e71b668b77ac,Jeremy Douglas,2024-05-05,96085
f98abe95-5598-4421-ab85-0817e4552618,Krystal Griffin,2024-03-27,18806
2c6632ce-a94b-4b0e-833c-06a0ab7be4c0,Robert Osborne,2024-01-23,22222
c53419e1-b9cf-4666-81c4-d313a054c6f5,Shari Wells,2024-01-06,2663
bbf62815-3c5f-4dcb-babb-2b6232bc0d9f,Katrina Mills,2024-04-07,22978
f7c430cb-ab08-48d4-949e-c81a2d0ffe91,Brandon Fowler,2024-01-18,34701
05dc22a1-fd32-487a-bf75-09eed299212c,Alexandra Castaneda,2024-03-13,58504
1ac91b74-384f-4461-a023-4fc4a2d805f3,Mark Armstrong,2024-07-17,1608
88c0938b-9fd8-47da-83df-427bfccca92b,Nancy Patrick,2024-07-22,34377
556545ab-c996-4f6d-a04c-e1be3a43f556,Gilbert Hernandez,2024-06-24,23788
01ae16e6-c004-4f80-9ee2-006e42e7c364,Kelly Kelley,2024-05-30,5158
4fda207b-617b-48ba-a8bf-ec4636d54674,Jacqueline Moore,2024-08-30,76672
63854eb4-3f3f-4975-899a-3c678da7781d,Audrey Smith,2024-03-03,46732
be03928e-ae63-4828-bed3-67b40a1ab930,Gary Walker,2024-08-29,39763
cf46708d-b325-453a-98db-b41fa058e19c,Matthew Clayton,2024-09-13,36436
7b88982e-4d4c-4206-8852-9919ab3eaf56,Sara Dunn,2024-07-07,95883
3f69d9f6-85f6-4355-97ea-2542b5047898,Jesse Adams,2024-05-13,16466
5f7c9abc-1e17-4286-8737-1a8829195a38,Jenna Neal,2024-09-02,32494
8de9b31b-53a8-4ee7-93f6-97966bc31d90,Susan Brown,2024-07-29,55069
5ece6a5e-9c31-4dd6-9278-72df3888d0f6,Joe Obrien,2024-04-24,47503
79b8513b-bafe-4d8c-bc31-4bd32582ccc7,Alexa Snyder,2024-06-16,80535
5f226ade-969c-43ca-9d92-2bd973495ca1,Wesley Burns,2024-02-20,33553
98f57de9-d7ff-435b-bf5b-dc143f043631,Heather Nguyen,2024-05-01,19518
76a15d45-e0f6-4a67-a894-20c2747d7966,Jessica Aguilar,2024-01-09,26084
5f234bdd-139b-4c21-b1e9-2c639fe48cbe,Robert Thomas,2024-02-13,92990
38579ee0-0ef0-470f-9141-67b9907e3ec8,Rachel Dorsey,2024-09-09,27125
4bebfbbd-8205-4f4e-a182-4fbfc6f3bd89,Angel Sullivan,2024-05-21,87216
143c1e04-2401-4004-8e86-4897546bec00,Roger Walsh,2024-04-09,94267
d9ffe5ae-7495-4bf7-b2d5-a3ae50ee800f,Maria Hamilton,2024-01-27,1303
ebdef033-7f67-4264-a233-fac22fca7567,Matthew Phillips,2024-01-21,11916
70e33701-e31d-48dd-b94e-aaa906745da9,April Duncan,2024-01-20,22757
12214517-e42c-4df7-8840-986787bbc38a,Brenda Solomon,2024-06-17,1335
d8552855-55fa-40eb-adb3-b4bea377ce74,Jason Douglas,2024-02-13,15923
88b57397-a84a-4653-8a4b-a62d23d2aae0,Tammy Hodge,2024-07-28,39485
627dc6fa-e260-453f-810b-bad923f9b014,Christopher Johnson,2024-01-25,4360
4e75d457-a928-44f7-9d59-8ba1d990216f,Robert Shelton,2024-05-09,15912
74b565b2-bd57-4243-a792-6170f1124863,Victor Clark,2024-09-06,58651
24352c24-4085-4d74-9272-756a31b1038f,Dalton Ramos,2024-07-25,85540
9771f6ff-7915-467a-b6d7-15809ac21ad3,Ryan Harris,2024-05-20,43831
94e2878a-175c-4fe0-a732-d8e0dc2bea07,Reginald Brown,2024-06-08,11413
